naam,geboortedata,Postcode,gift_given,gedrag
Susan Knox,2013-09-15,01302 74,True,slecht
Diane Kirby,2010-10-14,05791 72,True,goed
Michael Ryan,2011-08-02,64419 81,False,slecht
Katherine Anderson,2016-08-21,86577 5,False,goed
Lindsey Beck,2005-09-11,50171 100,True,slecht
Kenneth David,2021-11-26,67649 54,False,slecht
Ashley Martin,2018-02-07,88349 59,False,goed
Sierra Fisher,2019-02-23,14075 22,True,slecht
Crystal Mann,2010-07-03,39053 67,False,slecht
Kimberly Soto,2014-10-05,38320 72,True,goed
Stephen House,2009-04-07,95534 62,False,slecht
Brittany Johns,2021-01-06,24228 88,True,goed
Connor Clark,2018-06-26,29102 5,True,goed
Isaiah Jimenez,2018-09-02,19225 8,False,goed
Margaret Davis,2006-01-05,75032 31,True,slecht
Brandon Calhoun,2020-08-25,01319 1,True,slecht
Nancy Nelson,2007-10-06,38985 79,False,goed
Jeremy Parrish,2018-11-15,65821 93,False,slecht
Kathleen Hamilton,2010-04-01,57285 1,True,slecht
Laura Higgins,2014-04-10,16332 7,False,slecht
Jasmine Burton,2015-11-10,94504 80,True,goed
Savannah Shaw,2011-11-25,54296 50,True,goed
James Gutierrez,2010-04-06,89398 98,False,slecht
Joseph Pollard,2015-08-20,44222 94,True,slecht
Miss Debra Smith,2006-03-10,59711 40,True,slecht
Carl Hall,2007-09-10,35805 2,True,slecht
Stacy Hughes,2015-11-13,03068 77,True,goed
Karen Koch,2012-11-05,12618 74,False,slecht
Lisa Eaton,2022-04-10,47343 68,True,slecht
Lisa Sawyer,2010-01-15,61101 15,False,slecht
Anthony Jefferson,2011-01-15,40708 24,True,goed
Jason Ward,2018-02-21,28110 84,True,goed
Jason Barnes,2008-03-15,76421 79,True,goed
Gregory Fisher,2007-12-11,76218 81,False,slecht
Anne White,2011-09-16,56269 91,True,slecht
Ashley Diaz,2013-10-13,57581 29,True,goed
Melissa Hernandez,2021-08-11,97358 23,False,goed
Patrick Torres,2019-05-16,99642 21,True,slecht
Jared Stone,2007-05-13,98706 78,False,slecht
Steven Schmidt,2009-07-31,85654 88,False,goed
Julian Duncan,2007-08-24,50146 9,False,goed
Richard Tucker,2015-04-05,53545 73,True,goed
Joseph Myers,2019-06-14,07600 22,True,slecht
Janet Lozano,2015-04-23,50653 49,True,slecht
Kim Cohen,2011-12-18,93121 33,False,goed
Adrian Brewer,2012-01-24,40620 72,True,slecht
Sharon Hall,2020-08-29,17970 91,False,goed
Brenda Gonzales,2021-07-15,74259 72,False,slecht
Robert Guerrero,2008-06-26,72164 16,True,slecht
Keith Thompson,2018-02-04,07035 84,True,slecht
Michael Smith,2022-02-13,36556 63,True,slecht
Megan Johnston,2014-07-01,09370 32,False,goed
Billy Padilla,2021-10-31,80413 34,False,goed
Curtis Mejia,2021-09-28,31711 89,False,goed
Erika Hill,2010-08-08,32187 30,False,goed
Sheryl Terry,2007-04-23,49504 82,True,goed
Julie Hubbard,2009-03-08,34076 27,False,slecht
Tonya Clark,2015-08-14,15816 89,False,goed
Jessica Logan,2019-06-25,29226 21,True,goed
Jennifer Thomas,2019-11-23,11057 4,True,slecht
Gary Allen,2010-05-21,57881 53,False,slecht
April Harmon,2020-12-23,03585 3,False,goed
Nicole Moore,2009-05-17,53773 23,True,slecht
Mr. John Wright DDS,2019-10-25,38289 13,True,slecht
Theresa Perez,2018-01-06,39237 35,True,slecht
Christian Baird,2008-08-27,38237 98,True,slecht
Elizabeth Harrison,2014-07-08,98666 29,True,slecht
Drew Hayes,2020-08-18,30687 43,False,goed
Drew Wright,2017-01-31,57849 98,True,goed
Lisa Taylor,2016-01-20,31890 53,False,goed
Justin Roberts,2016-03-11,48938 56,False,goed
Luis Cox,2009-12-30,62306 12,True,goed
Jason Lynn,2006-12-15,59297 29,True,goed
William Ingram,2015-11-21,28956 15,True,goed
Holly Estrada,2018-12-07,14639 55,False,slecht
Henry Sheppard,2018-08-16,43666 48,False,goed
Bradley Cruz,2006-02-28,01910 62,False,goed
Elizabeth Jones,2017-07-14,37409 8,False,slecht
Wayne Herman,2018-12-13,49295 34,False,goed
Christine Combs,2012-08-17,73122 55,False,slecht
Christopher Hendricks,2011-12-23,53198 93,True,slecht
Ashley Wilcox,2013-04-30,54424 41,True,goed
Jennifer Ross,2007-11-09,61698 34,False,goed
Kristopher Chavez,2007-12-04,21508 49,True,goed
Jamie Campbell,2014-01-20,88961 39,True,slecht
Sandra Bryant,2021-06-08,62745 7,True,slecht
Nicole Price,2019-06-15,54505 94,True,slecht
Jeffery Li,2009-10-14,49598 11,False,goed
Dawn Torres,2014-02-06,54010 53,False,goed
Amy Brewer,2012-08-10,44094 14,False,goed
Caleb Obrien,2013-10-08,40283 37,False,goed
Michael Hernandez,2014-08-23,28845 63,True,slecht
James Vance,2005-09-04,42380 10,False,goed
Eric Bell,2015-12-12,45058 17,False,goed
Robin Williams,2005-06-25,66621 44,False,slecht
William Brown,2007-06-25,45693 25,True,goed
Jacob Gutierrez,2005-08-19,69263 36,True,slecht
Brian Farrell,2009-06-16,06330 15,True,slecht
Jonathan Clark,2014-11-22,26449 44,False,slecht
Kayla Morris,2017-06-10,69510 58,False,goed
Brittany Hill,2010-05-09,28767 6,False,goed
Brent Cox,2017-08-15,33393 97,True,goed
Linda Garcia,2008-08-26,31074 90,False,slecht
Brittany Clayton,2014-11-06,01871 76,True,slecht
Christine Barnes,2019-07-23,58996 55,True,slecht
Mary Martin,2014-10-23,86300 3,False,slecht
Jerry Patel,2020-11-29,86399 83,False,slecht
Jeffrey Allen,2019-11-17,42389 22,True,goed
Robert Morris,2019-10-27,32398 73,False,slecht
Laura Collins,2012-02-10,32192 5,False,goed
Joseph Neal,2004-09-23,71536 100,True,goed
Sean Terry,2007-11-15,01189 69,False,goed
Jennifer Harding,2005-02-03,44079 16,True,slecht
George Alexander,2004-11-30,83932 72,False,slecht
Trevor Smith PhD,2016-03-10,85642 83,True,goed
Lisa Hayes,2021-05-13,59916 20,False,slecht
Pamela Gross,2020-02-03,89567 45,False,slecht
Erin King,2021-05-07,07582 76,True,goed
Christopher Nichols,2006-09-01,68282 54,True,slecht
Michelle Hodges,2005-05-04,48019 78,False,slecht
Daniel Chang,2010-01-04,14161 75,True,slecht
Jennifer Burns,2004-11-28,40480 3,False,goed
Taylor West,2019-09-05,59340 42,False,slecht
Christopher Taylor,2007-09-16,94553 47,True,slecht
Laura Miller,2021-04-19,72355 3,True,goed
April Curtis,2017-03-30,49659 2,True,slecht
Christopher Perez,2020-03-24,81062 14,True,slecht
Gerald Harris,2016-08-02,11795 25,False,slecht
Sandra Ware,2019-03-09,07470 54,True,slecht
George Garcia,2019-05-31,14507 61,False,goed
Matthew Wallace,2011-03-04,12628 7,True,slecht
Victor Bolton,2005-07-11,12661 47,False,goed
Anthony Clark,2011-12-21,76634 97,True,slecht
Ashley Reynolds,2008-05-08,93157 61,True,goed
Joshua Olsen,2007-01-06,88080 41,False,goed
Emily Brewer,2022-03-17,43265 95,False,goed
Kenneth Davis,2007-01-20,57302 86,False,slecht
Sandra Turner,2021-05-04,64451 62,True,goed
David Allen,2019-01-22,52030 30,False,goed
Crystal Burnett,2018-11-01,19346 95,True,goed
Laura Gonzalez,2018-08-15,81259 53,True,slecht
Anthony Swanson,2008-01-04,89652 11,False,goed
Megan Blackwell,2008-09-14,02846 44,True,slecht
Joshua Gallegos,2006-06-21,35789 31,False,goed
Charles Tanner,2008-10-07,01700 5,False,goed
Christopher Sullivan,2008-11-29,06585 73,False,goed
Adrienne Garcia MD,2004-12-13,91377 30,True,slecht
Suzanne White,2006-10-23,11612 5,False,slecht
Amanda Steele,2017-05-17,02799 58,True,slecht
Yvonne Faulkner,2014-03-09,23083 57,False,slecht
Jessica Jackson,2021-04-19,32274 16,False,slecht
Steve Wright,2021-12-21,12941 46,True,slecht
Victoria Ward,2017-05-01,08153 31,False,slecht
Chad Novak,2016-10-04,91985 62,False,slecht
Jason Elliott,2006-07-08,44223 27,True,slecht
Sharon Weeks,2017-06-10,26730 68,True,goed
Anthony Perry,2015-04-04,74530 82,False,goed
John Diaz,2018-12-03,98737 30,False,slecht
Shannon Williams,2005-09-22,15739 47,False,slecht
Margaret Torres DDS,2018-06-16,44003 45,True,slecht
Stephanie Brown,2021-02-20,97210 62,True,slecht
Kelli Johnson,2013-06-29,25901 29,False,goed
Joshua Cole,2014-04-21,52942 88,True,goed
Dr. Gregory Willis,2007-05-14,63024 75,False,goed
Nancy Delgado,2016-12-28,93821 8,False,slecht
Michelle Hill,2011-04-10,42649 2,False,goed
Noah Smith,2012-06-15,65749 51,False,slecht
Dr. Thomas Carter MD,2010-08-14,34726 92,False,slecht
Joshua Baldwin,2021-06-14,34583 47,False,goed
Joshua Bailey,2022-02-18,43313 31,False,goed
Riley Snow,2015-07-23,33650 70,False,slecht
Jason Martinez,2007-02-05,34477 20,True,slecht
Renee Price,2018-10-08,37737 67,False,slecht
Joseph Green,2017-03-24,58891 97,True,slecht
James Carroll,2011-10-23,21157 55,False,goed
Todd Young,2014-04-15,38626 4,False,slecht
Joshua Fowler,2008-12-07,33140 88,False,goed
Mary Watson,2020-10-19,75712 71,False,goed
Raymond Bailey,2016-02-12,28179 71,True,slecht
Joseph Lyons,2007-08-03,37530 38,False,goed
Ronald Peters,2016-04-20,04512 17,True,slecht
Brooke Evans,2015-07-02,28479 67,False,goed
Sharon Smith,2020-01-20,67093 64,True,slecht
Donna Chase,2012-10-03,82202 97,False,goed
Debra Bell,2012-11-19,35274 88,True,slecht
Kevin Richardson,2010-07-30,28650 35,True,goed
James Jackson,2012-12-03,23696 67,True,slecht
Mr. Todd Hamilton Jr.,2019-11-17,56167 48,False,slecht
Elizabeth Murray,2018-06-07,56455 5,False,slecht
Joseph Gibson,2005-10-15,39467 10,True,slecht
Ethan Gonzalez,2015-10-02,48357 15,True,slecht
Jennifer Gonzalez,2004-09-24,08812 56,False,goed
Andrew Fields,2019-06-14,25822 29,True,goed
Christopher Mason,2018-11-01,76512 86,True,slecht
Tiffany Bennett,2016-07-11,71454 12,True,slecht
Joseph Logan,2021-05-15,12296 72,False,slecht
Benjamin Peterson,2004-11-05,96850 24,False,goed
Jason Rogers,2019-08-01,36626 71,True,slecht
Ryan Smith,2022-03-23,45686 75,False,goed
Jeffery Willis,2008-12-04,12297 33,True,slecht
David Hill,2007-02-07,16204 1,True,slecht
David Lopez,2007-03-02,74604 72,True,slecht
John Powell,2006-10-13,87240 70,True,goed
Samantha Wright,2005-09-27,48041 4,False,slecht
Leslie Sanchez,2021-09-27,98145 55,True,goed
Autumn Brown,2006-08-21,58902 36,False,goed
Jacob Porter,2009-07-18,52013 48,False,slecht
Patrick Thompson,2021-10-25,44629 92,False,slecht
Stephanie Mullen,2004-06-09,72966 71,True,slecht
Chad Forbes,2019-12-17,32979 72,False,slecht
Lori Fox,2007-12-20,14002 73,True,goed
Alice Vance,2009-10-11,88864 24,True,slecht
Kayla Moss,2019-06-03,66782 59,True,goed
Bryan Morse,2009-09-28,74272 6,True,goed
Michelle Randolph,2019-07-11,22886 60,True,slecht
Stephanie Jimenez,2010-10-05,83692 80,True,slecht
Matthew Ramirez,2016-09-04,63601 32,False,goed
Christopher Brown,2006-02-03,77145 80,False,goed
Stephanie Ramirez,2005-05-03,42723 43,False,goed
Aaron Berg,2014-11-25,63991 43,False,goed
Rebecca Williams,2006-07-27,98376 48,False,slecht
Jason Griffin,2006-11-09,40021 88,True,goed
Ryan Collins,2018-07-30,39465 69,True,goed
Christine Camacho,2011-06-19,47471 93,True,goed
Alexander Mendez,2021-03-14,10110 69,True,slecht
Robert Galvan,2021-04-11,81587 60,False,goed
Paul Perez,2022-05-05,81375 78,False,slecht
Dr. Matthew Gallegos,2006-06-20,29245 18,True,slecht
Matthew Williams,2007-01-30,53200 54,True,slecht
Donald Ryan,2013-03-25,09177 10,True,slecht
William Grant,2015-06-12,77331 81,True,goed
Denise Nelson,2020-11-11,82725 16,False,slecht
Madeline Rodriguez,2014-05-05,68525 16,True,goed
Jonathon Ross,2010-09-01,03837 35,False,goed
Jessica Hunt,2009-06-01,77316 1,False,goed
Rebecca Hicks,2005-09-19,56022 6,True,goed
Elizabeth Lee,2011-07-04,60522 34,True,goed
Christina Lara,2016-12-13,87031 33,True,slecht
Mathew Adams,2010-12-16,39045 69,True,slecht
Alice Schroeder,2012-08-22,51369 28,True,slecht
Isaiah Adams,2011-07-02,66827 53,True,goed
James Taylor,2019-03-02,05747 86,False,goed
Amber Glass,2008-04-22,48887 44,False,slecht
Randy Rose,2017-06-02,69111 78,False,slecht
Allison Garcia,2011-07-28,64842 5,True,goed
Nicole Rivas,2011-08-22,60169 54,True,goed
Michael Williams,2020-10-26,63681 95,False,goed
Taylor Craig,2009-12-25,93476 30,True,goed
Thomas Brown,2011-11-29,35370 59,True,goed
Julie Hodges,2019-05-29,58491 20,True,slecht
Jennifer Harris,2018-01-28,53189 84,True,goed
Jessica Cooper,2019-09-26,92176 40,True,slecht
Christina Allen,2011-11-02,32623 61,False,goed
Jesus Weber,2010-09-01,88687 38,True,goed
Nicholas Koch,2011-01-28,39927 13,True,goed
Carol Vega,2020-10-20,28524 83,False,slecht
Rebecca Jackson,2004-06-02,60874 97,False,goed
Juan Ford,2004-05-18,43738 98,True,goed
Pamela Garza,2004-11-13,86168 7,False,goed
Alexandra Marsh,2010-04-29,09676 94,False,slecht
Anna Cisneros,2014-02-25,27363 20,True,goed
Mrs. Lisa Bell,2020-01-02,76914 10,True,slecht
Amber Guerrero,2012-05-02,21144 13,True,goed
Jonathan Clayton,2015-07-28,66647 32,True,slecht
Caitlin Hubbard,2018-11-22,28512 2,True,slecht
Valerie Brown,2006-12-24,32415 13,False,goed
Jeremiah Deleon,2020-11-16,81185 6,False,slecht
Mason Harris,2009-01-19,24939 48,True,goed
Sean Padilla,2013-07-21,37895 79,True,goed
Katherine Wilson,2007-09-15,53606 36,True,goed
Rebecca Silva,2019-09-24,19170 47,False,slecht
Shawn Jennings,2004-05-17,77806 89,False,slecht
Ashley Myers,2013-03-15,46192 28,True,goed
Teresa Simon,2015-10-26,60446 75,True,goed
Michael King,2016-07-12,99144 79,False,slecht
Shelby Griffin,2017-06-16,35877 93,False,slecht
Christy Thomas,2011-05-25,10057 36,True,goed
James Castillo,2015-11-12,55340 40,False,slecht
Sarah Bell,2021-06-19,39918 66,True,goed
Danny Silva,2016-01-13,94077 17,True,goed
Veronica Chapman,2017-04-17,19748 92,False,goed
Rebecca Jordan PhD,2016-03-29,96871 94,False,goed
Phillip Wood,2011-06-21,80817 2,True,slecht
Jamie Stephenson,2014-11-22,45425 9,False,goed
Andrew Ramirez,2010-12-12,39670 50,True,slecht
Donald Wilson,2015-02-02,03398 99,False,goed
Kelly Houston,2014-10-03,67552 29,False,slecht
Steve Harvey,2008-11-13,45491 5,True,slecht
James Ruiz,2016-01-23,05672 67,False,slecht
Daniel Gray,2007-07-03,09391 34,True,goed
Kimberly Nguyen,2020-05-18,13072 10,False,slecht
Kristina Miles,2016-01-31,19291 87,False,goed
Carol Baker,2019-02-07,68650 74,True,slecht
Jack Miles,2014-03-04,79653 85,True,goed
Kayla Hines,2015-02-06,51147 7,True,slecht
Jerry Carlson,2016-08-27,30537 77,False,goed
Charles Terry,2020-08-12,55777 13,True,slecht
Lauren Nelson,2016-04-07,38695 11,False,slecht
Samuel Montes,2022-04-25,39446 90,True,slecht
Wendy Moore,2010-02-07,84238 22,True,goed
Dominique Davidson,2009-05-24,51820 35,True,slecht
Christopher Stephens,2005-05-06,14315 100,False,slecht
Alexander Carey,2018-01-13,21590 23,False,goed
Amber Evans,2011-12-05,93819 33,False,goed
Randy Brown,2004-08-15,35311 46,True,goed
Mrs. Michelle Harris,2007-04-24,54334 13,True,slecht
Cindy Figueroa,2017-07-02,32539 63,True,goed
Lauren Mcbride,2006-06-08,08316 100,True,slecht
Christine Williams,2017-09-20,17268 98,False,goed
Lori Lewis,2020-12-12,11751 3,True,slecht
Cheryl Flores,2015-12-27,98692 51,False,goed
John Nichols,2020-04-03,11756 38,False,goed
Glen Griffith,2016-05-01,95949 27,True,goed
Wayne Harris,2018-09-18,04261 50,True,slecht
Paige Hughes,2006-08-01,74589 74,False,slecht
Kimberly Sanford,2020-01-23,26131 64,False,goed
Jason Decker,2008-04-21,83110 14,True,slecht
Heather Wise,2015-07-14,08559 57,False,slecht
Benjamin Garza,2012-12-20,13506 9,False,slecht
Jonathan Scott,2018-08-25,73777 81,True,slecht
Cristian Mcdonald,2006-11-11,38932 9,False,goed
Natalie Bailey,2015-09-29,21724 94,True,goed
Mr. Allen Thomas,2005-01-07,84696 81,True,slecht
Christopher Keith,2014-06-04,18724 20,True,goed
Kirk Wallace,2012-02-15,55992 69,False,slecht
Matthew Brown,2010-11-23,71119 46,True,slecht
Tammy Richardson,2009-04-07,05361 58,False,slecht
Nancy Martinez,2007-11-15,18467 40,False,goed
Jillian Walton,2012-10-31,88926 54,True,goed
Carlos Campbell,2013-01-02,70889 32,False,goed
Daniel West,2015-01-04,21067 87,True,slecht
Sandra Lopez,2013-08-07,10330 10,True,slecht
Kyle Williams,2015-10-03,09882 38,True,goed
Courtney Booker,2004-11-12,45503 23,True,goed
Willie Miller,2014-10-16,21591 66,False,goed
Andrew Wood,2022-02-25,12038 58,False,goed
Michael Hernandez,2021-09-21,26641 42,False,goed
Nathaniel Knight,2006-08-11,08634 91,True,slecht
William Peters,2016-02-07,18068 95,False,slecht
Jessica Collins,2016-01-30,51719 41,False,goed
Paul Goodman,2017-12-13,20932 50,False,slecht
Martin Reilly,2012-08-09,38698 9,False,slecht
Laura Patton,2010-02-12,99735 70,False,goed
Krystal Rodriguez,2004-07-02,65284 43,True,slecht
Mr. Jerry Johnson,2011-12-30,19697 93,True,goed
Sonya Carroll,2006-12-05,10908 31,False,goed
Kurt Barber,2022-03-02,49927 49,False,slecht
David Williams,2005-02-25,38837 39,True,goed
Sandra Anderson,2005-09-14,87064 47,True,slecht
Cynthia Hall,2019-10-05,96357 24,True,goed
Nicholas Holloway,2009-06-24,88370 11,False,goed
Kim Rogers,2019-08-22,59987 92,False,goed
Jennifer Johnson,2016-10-10,44558 13,False,slecht
Jeremy Armstrong,2016-04-19,20019 38,False,slecht
Bradley Hicks,2020-07-26,97173 79,True,goed
Corey James,2009-06-11,72741 37,True,slecht
Tammy Elliott,2013-02-13,01794 33,False,slecht
David Levy,2021-10-18,06257 92,True,goed
Jessica Walker,2007-05-18,20760 27,True,slecht
Tamara Fisher,2019-02-08,80703 64,False,slecht
Jeffrey Hooper,2018-08-03,59520 49,False,goed
Jose Cook,2015-08-02,62803 30,True,slecht
Christy Farmer,2018-11-05,99037 33,True,slecht
Nicholas Long,2015-04-25,08690 45,False,slecht
Katherine Farmer,2021-07-24,46289 71,True,goed
Lisa Mills,2005-07-24,40576 7,True,slecht
Parker Cuevas,2004-12-03,14793 100,True,goed
Timothy Barker,2004-10-12,08953 35,True,slecht
Craig Smith,2015-07-02,16220 62,True,goed
Emily Martinez,2012-06-26,73839 3,False,goed
Shelly Richards,2015-01-19,23368 2,False,slecht
Chase Chambers,2008-09-15,62378 46,True,goed
Sarah Mckinney,2019-06-24,04101 56,False,goed
Sydney Ross,2018-05-19,67483 98,True,goed
Richard Thompson,2009-04-06,49956 28,True,goed
Jenny Smith,2016-05-16,09213 30,True,slecht
Tina Anderson,2016-09-21,93111 1,False,slecht
Howard Gray,2018-11-21,46261 64,False,slecht
David White,2015-09-15,35100 42,True,goed
Mary Hughes,2012-07-02,77621 25,False,slecht
Christina Griffin,2015-07-27,31490 65,False,goed
Alexander Brown,2005-09-27,60349 71,True,goed
Kathleen Kelley,2015-06-29,61351 28,False,slecht
Tamara Jones,2008-11-13,48128 22,True,goed
Andrea Scott,2020-09-13,14534 62,False,slecht
Heather Vega,2006-05-29,93643 74,False,slecht
Briana Brown,2021-10-01,03434 36,True,goed
Maria Evans,2009-11-09,86979 87,True,slecht
Michele Herrera,2019-08-28,82583 14,False,slecht
Cameron Wang,2014-06-10,44910 67,True,goed
James Ward,2022-05-10,30011 16,True,slecht
Melanie Rodriguez,2020-06-26,40919 49,True,goed
Dr. Joshua Li DVM,2007-02-19,31691 81,True,goed
Erin White,2009-08-30,69831 30,True,slecht
Kelly Torres,2019-09-20,14227 65,False,goed
Cheryl Ward,2010-07-12,26996 2,True,slecht
Melissa Soto,2021-06-22,37236 74,False,goed
Christopher Miller,2011-05-04,25137 79,False,slecht
Alexandria Smith,2011-04-06,72837 36,True,slecht
Laura Williams,2008-01-19,72694 20,True,goed
Eric White,2013-02-19,55917 48,False,slecht
Darryl Jackson,2004-12-29,31661 8,False,goed
Michele Herrera,2007-06-10,77317 7,True,goed
Jose Jones,2019-12-01,87906 88,True,slecht
Robert Mann,2007-09-13,30076 36,True,goed
William Jones,2007-06-25,71212 68,True,slecht
Kimberly Orozco,2013-12-16,66522 23,False,goed
Lisa Barry,2011-05-29,41956 50,False,goed
Carol Snow,2011-01-02,17934 36,True,slecht
Margaret Todd,2015-09-22,82617 14,True,goed
Gregory Dougherty,2008-12-13,29589 97,False,slecht
Elizabeth Butler,2019-04-21,52725 30,False,goed
Matthew Edwards,2010-08-24,37733 12,True,goed
Aaron Wagner,2013-05-27,19787 98,False,slecht
Brent Stevenson,2015-09-26,35292 88,False,slecht
Christopher Richardson,2014-07-04,28508 89,False,goed
Amanda Williamson,2006-06-15,95776 76,False,goed
Ryan Ramos,2013-08-25,76178 89,True,goed
Joanna Miller,2008-05-16,22649 95,False,goed
Erik Yoder,2017-03-13,90748 69,True,goed
Kimberly Ramos,2007-08-17,13253 99,False,goed
Jordan Murray,2014-12-26,25611 35,True,goed
Robin Levy,2014-07-28,55195 40,True,slecht
Amanda Gross,2018-05-15,81598 84,True,slecht
Johnny Mclaughlin,2010-06-05,98686 80,True,slecht
Laura Dawson,2011-10-08,64877 58,False,goed
Lynn Perez,2022-04-11,14346 91,False,goed
Mr. Ray Porter,2010-09-25,37747 61,False,slecht
Jessica Young,2018-01-22,63915 21,True,goed
Amanda Flowers,2004-09-27,88308 47,False,slecht
Brian Carr,2018-09-11,54809 57,False,goed
Crystal Riley,2019-02-21,48105 47,False,goed
Zachary Mcclure,2012-10-11,22153 89,False,goed
Linda Fisher,2018-06-13,87461 37,False,goed
Rebecca Schroeder,2010-11-10,10711 13,False,goed
John Campbell,2013-04-14,19687 79,False,slecht
Ryan Brown,2007-02-21,13656 33,False,slecht
Teresa Mcguire,2007-03-14,56309 36,False,slecht
Elizabeth Clark,2011-10-28,97600 27,False,goed
Brandon Butler DDS,2012-10-23,91988 43,False,slecht
Vincent Thomas,2016-03-08,08281 91,True,slecht
Diane Robinson,2004-10-27,91780 20,False,slecht
Deborah Lee,2006-09-04,06559 3,False,goed
Teresa Jones,2008-04-11,34521 43,False,goed
