naam,geboortedata,Postcode,gift_given,gedrag
Jared Stewart,2011-07-25,30424 1,False,goed
Paige Stevenson,2008-04-17,18822 81,False,slecht
Jordan Dalton,2012-09-21,27180 93,True,goed
Sara Butler,2009-01-17,62154 13,True,goed
Brian Johnson,2018-01-24,30648 99,True,slecht
Angela Middleton,2013-10-13,52079 52,False,goed
Robert Brown,2017-03-29,20104 51,False,goed
Brenda Garcia,2016-05-28,86371 85,True,slecht
Carol Peck,2021-01-18,49213 1,False,slecht
Pamela Thompson,2014-05-22,04840 66,False,slecht
Shannon Hall,2017-03-19,30799 56,False,slecht
Valerie Le,2006-12-10,96040 8,False,goed
Andrew Knapp,2014-01-22,83801 84,True,goed
Tiffany Welch,2004-10-06,60601 41,True,slecht
Steven Perry,2006-08-30,90333 64,False,goed
Michael Nelson,2017-11-23,73742 71,True,goed
Carla Bishop,2013-10-07,94402 87,False,slecht
Keith Williams,2007-01-11,58786 79,True,goed
Christina Mitchell,2020-06-09,80575 36,False,slecht
Omar Fitzgerald,2009-01-25,74132 28,True,slecht
Jose Hampton,2013-03-06,64154 65,False,slecht
Sylvia Dillon,2019-07-12,66020 44,True,goed
Mrs. Susan Holmes,2017-03-10,25959 31,False,goed
Tracy King,2020-09-23,10870 16,False,slecht
Eric Knight,2006-08-12,89292 3,True,slecht
David Barton,2008-11-05,48360 74,False,goed
Ethan Stewart,2020-09-01,07313 91,False,goed
Sean Griffin,2014-06-15,90747 18,True,slecht
Gloria Cantu,2008-11-03,70045 3,True,slecht
David Watson,2018-11-09,67563 50,False,goed
Cynthia Roberts,2014-07-29,84602 73,True,goed
Anthony Moore,2019-12-21,93927 23,False,slecht
Sarah Flores,2013-04-03,80022 21,False,goed
John Garza,2008-10-17,94182 74,False,goed
Aaron Mays,2005-09-24,74549 26,False,slecht
Stephen Moore,2022-03-22,88770 48,False,slecht
Travis Smith,2005-09-15,38935 41,True,goed
Sarah Reed,2010-03-18,80795 91,True,goed
Susan Parker,2012-05-16,49909 30,True,slecht
Sarah Sanchez,2018-03-20,39315 77,True,slecht
Jose Rodriguez,2008-08-03,18617 25,False,slecht
Brian Pena,2010-12-04,75399 57,False,goed
Linda Page,2009-03-05,78576 98,True,goed
Christopher Robinson,2019-11-18,93093 78,True,goed
April Wu,2011-05-01,94120 65,False,goed
Joshua Garcia,2015-12-01,44720 87,True,slecht
Joy Jordan,2011-01-17,74668 25,False,slecht
Jasmine Myers,2017-01-19,71235 43,True,goed
Mrs. Tamara Rogers,2008-07-08,51571 65,True,slecht
Timothy Bennett,2004-05-13,76080 38,True,goed
Robert Contreras,2021-01-18,65940 17,False,slecht
Erica Wilson,2008-10-28,73587 84,True,slecht
Angela Tucker,2020-05-21,61479 76,True,slecht
Debra Hendrix,2015-12-09,71921 90,False,slecht
Kelly Perez,2006-08-09,84624 18,True,slecht
Megan Vazquez,2004-12-29,12809 85,True,slecht
Matthew Ortiz,2006-08-20,35884 99,False,slecht
Mr. Jason Hawkins,2011-01-06,61898 55,True,goed
Amy Good,2015-08-05,98844 17,True,goed
John Gutierrez,2012-05-24,05323 82,True,goed
Steven Grimes,2022-04-30,51083 41,False,goed
Ashlee Castillo,2014-11-19,15585 82,False,goed
Bonnie Anderson,2021-12-13,69102 38,True,slecht
Casey Kemp,2017-09-07,15543 3,True,slecht
Olivia Paul,2010-08-26,65841 40,True,goed
Jessica Wallace,2011-07-17,79148 49,False,goed
Cynthia Cooke,2015-03-23,45277 100,True,slecht
Erik Hansen,2017-11-11,28536 13,True,slecht
Carla Spence,2015-12-20,22048 90,False,goed
Joshua Wells,2011-05-11,22312 98,True,goed
Jennifer Hall MD,2008-08-19,21717 12,False,slecht
Katherine Vasquez,2019-05-16,83818 7,False,slecht
James Mann,2008-03-05,31280 85,True,goed
Michelle Smith,2006-11-28,48254 44,True,goed
Brianna Gamble,2014-07-02,72654 65,True,goed
Dr. Ryan Lewis,2011-10-31,96624 65,True,slecht
Tyrone Smith,2014-01-08,08015 54,False,slecht
Christian Smith,2016-07-17,86061 10,True,goed
David Ward,2014-08-13,45137 29,True,goed
Destiny Roberts,2008-06-29,84450 42,False,goed
Stephanie Harris,2010-12-01,53603 4,True,slecht
Dale Ruiz,2012-04-27,97897 35,False,goed
Janet Burton,2005-12-01,08866 38,False,goed
Mary Jones,2016-08-08,18226 44,False,slecht
Dillon Pace,2013-06-21,39624 99,False,goed
Joshua Page,2009-04-02,56185 37,True,slecht
Paul Gonzalez,2008-11-24,25482 49,True,goed
Michelle Bowman,2018-11-25,07706 5,False,slecht
Renee Lewis,2006-09-05,76975 17,False,slecht
Melissa Morris,2009-11-17,87462 96,True,slecht
Mr. Jason Hernandez,2007-01-11,02028 91,False,slecht
Spencer Herrera,2008-07-09,99390 2,False,goed
Richard Perez,2004-09-05,48603 87,False,goed
Philip Brown,2018-11-21,43911 22,False,slecht
Mr. Jeffrey Burgess,2018-07-31,77502 75,True,goed
Erin Holder,2009-06-10,15276 52,False,goed
Heather Mccoy,2021-04-27,94604 87,False,slecht
Vincent Tyler,2017-05-14,96268 15,True,goed
Michelle Taylor,2013-06-28,59523 84,True,slecht
Daniel Gomez,2011-05-25,26645 61,False,goed
Gregory Pruitt,2006-04-08,35689 67,False,goed
Lisa Dyer,2010-12-24,73977 12,True,goed
Paige Cole,2006-03-16,22128 74,True,slecht
Erin Stewart,2019-05-08,53723 9,False,slecht
Michael Mejia,2008-10-20,14965 69,True,slecht
Sherry Keller,2011-08-04,10696 50,True,slecht
Christine Mcgee,2008-08-03,74141 94,True,slecht
Zachary Frey,2014-02-26,27963 59,True,goed
Amy Chavez,2022-02-14,66135 91,False,goed
Erica Hernandez,2008-05-26,13582 59,True,slecht
Ms. Amanda Watson,2012-12-20,14285 56,False,slecht
John Russo,2009-04-25,63442 90,False,slecht
Christopher Sullivan,2009-09-22,61149 76,False,slecht
Janice Oconnor,2015-11-25,45090 67,True,goed
Allen Clarke,2015-07-25,96129 30,True,goed
Mary Gould,2010-07-27,84619 18,False,slecht
Mary Jensen,2012-02-04,55840 53,True,slecht
Lisa Lawson,2020-01-25,35230 71,False,goed
Anna Johnson,2021-09-07,25798 47,True,goed
Daniel Sullivan,2004-12-22,20471 13,True,goed
Cynthia Hoffman,2005-11-09,99651 8,True,goed
Annette Clark,2006-05-29,96009 74,True,slecht
Kevin Turner,2012-01-01,46284 96,False,goed
Tammy Wallace,2009-06-28,08670 22,False,slecht
John Wood,2011-03-11,16545 75,True,goed
Timothy Hudson,2012-10-08,97158 32,True,goed
Jennifer Peters,2008-04-30,23401 97,False,goed
Robert Leonard,2011-11-20,02491 60,False,goed
Brenda Hudson,2004-06-03,32975 62,False,goed
John Young,2013-07-25,43471 48,True,slecht
Jesus Norman,2010-12-18,12653 51,False,goed
Scott Caldwell,2006-11-10,31247 32,True,goed
Alexandra Boyle,2015-06-17,67195 94,False,goed
Cynthia Blackwell,2017-11-13,98972 92,False,goed
Meghan Carr,2006-03-25,09781 95,False,goed
Karen Ramos,2010-07-18,32985 6,False,goed
Emily Jones,2006-11-19,49468 57,True,goed
Eric Smith,2021-05-19,37944 20,True,slecht
Donald Rivera,2006-04-07,03107 25,True,goed
Dennis Jarvis,2008-06-07,91598 50,False,slecht
Kevin Hoover,2006-04-10,39904 36,True,goed
Lisa Mann,2015-02-26,04142 37,False,goed
Melissa Williams,2010-03-01,74407 100,True,slecht
Brandon Wright,2015-01-15,12504 52,True,goed
Alan Wilson,2016-06-22,58516 66,False,goed
Jeffrey Rodriguez,2005-05-20,98438 46,False,goed
Marcus Harmon,2018-12-27,86984 78,True,slecht
Wayne Valdez,2006-10-20,86730 12,False,goed
Charles Contreras,2009-09-02,33872 31,True,slecht
Jennifer Taylor,2005-03-25,32056 74,False,slecht
Christopher Bonilla,2016-11-17,23914 3,True,slecht
Tammy Smith,2020-02-25,87219 38,True,goed
Anthony Stevenson,2013-10-21,80187 85,False,slecht
William Guerrero,2006-03-08,73724 16,True,goed
Brendan Stewart,2017-02-22,08060 42,False,goed
Sean Hopkins,2013-12-14,71006 33,False,slecht
John Robinson,2020-05-28,85845 79,False,slecht
Jeff Cannon,2018-06-29,23117 72,True,goed
David Palmer,2021-07-11,55054 81,True,slecht
Edward Key,2012-11-06,19852 69,False,slecht
Michael Harris,2017-12-11,54358 96,True,slecht
Samantha Sanchez,2019-08-25,65887 27,True,slecht
Emily Cordova,2005-07-02,65967 6,False,slecht
Danielle Nelson,2010-09-15,75197 11,False,goed
Jeremy Bailey,2019-10-07,71174 15,False,slecht
Karen Vaughan,2013-02-21,54432 64,False,goed
Troy Ruiz,2014-10-01,82053 8,True,slecht
John Newman,2016-12-13,83674 48,True,slecht
Kirsten Adams,2015-04-18,88349 35,False,slecht
Aaron Morrison,2009-05-22,65787 48,False,goed
David Scott,2021-10-23,50996 50,False,slecht
Nicholas Brown,2010-03-30,78900 42,True,goed
Peter Schmitt,2015-01-22,44227 81,True,slecht
Jonathan Brown,2015-11-30,53172 26,False,goed
Martha Jones,2007-03-23,73959 5,True,slecht
Manuel Moore,2017-07-28,04368 25,False,slecht
Tammie Davis,2013-07-05,50948 23,True,goed
Rebecca Turner,2013-04-01,53830 55,False,goed
Patrick Sanchez,2019-08-11,70630 80,False,slecht
Carol Franco,2008-06-30,26229 57,False,goed
Alexander Norton,2014-02-07,29070 11,True,slecht
Joseph Stevens,2016-03-25,93545 95,False,slecht
Joshua Martin,2017-11-04,13698 4,False,slecht
David Russell Jr.,2019-05-08,21856 58,False,goed
Roberto Mendoza,2022-02-15,22828 94,False,slecht
Joseph Andrews,2004-12-31,38332 16,True,slecht
Daniel Allen,2004-12-04,98469 67,True,slecht
Cheryl Kaiser,2004-06-12,30508 52,False,goed
Stacey Miller,2008-09-29,42447 65,False,slecht
Glenn Giles,2019-01-28,55444 43,True,goed
Steven Pacheco,2005-04-22,02834 18,True,goed
Hannah Vance,2016-11-09,23665 12,False,goed
Steven Diaz,2005-06-21,62719 57,False,goed
Michael Wright,2011-01-24,37606 100,False,goed
Bryan Frye,2017-12-30,62993 7,False,goed
Lisa Davidson,2018-01-03,24935 74,False,goed
Brian Marshall,2007-02-22,51940 84,True,goed
Mary Wolfe,2020-06-21,83603 51,True,slecht
James Allen,2014-07-07,97853 54,False,goed
Jessica Hernandez,2005-11-24,65068 86,False,slecht
Crystal Wells,2005-06-28,31639 10,False,goed
Martin Sanchez,2013-09-22,43128 97,True,slecht
Miguel Rodriguez,2019-11-17,80847 83,True,goed
Jay Ewing,2016-04-16,69246 7,True,goed
Jason Khan,2004-12-25,66888 77,False,slecht
Christopher Moore,2020-08-15,99352 88,False,slecht
Vincent Pugh,2008-11-17,74706 49,True,goed
Zachary Vargas,2021-07-27,22998 69,False,slecht
Angelica Flores,2012-03-07,26949 36,False,goed
Margaret Flores,2019-07-21,26628 90,False,slecht
Margaret Swanson,2020-04-15,30756 24,False,slecht
Heidi Duncan,2006-11-17,22861 98,True,slecht
Melissa Hamilton,2017-01-21,42320 13,False,goed
Ryan Trevino,2018-09-05,82954 99,False,goed
Roger Kim,2009-03-16,63480 6,True,slecht
James Knapp,2007-09-10,14192 23,False,goed
Patricia Anderson,2017-03-01,47902 83,True,slecht
Lisa Barnes,2005-01-21,89326 78,False,goed
Rebecca Goodwin,2014-01-08,57927 24,False,slecht
Daniel Dunlap,2008-11-25,22730 75,False,slecht
Jeffrey Cook,2010-12-05,62270 35,False,goed
Gabrielle Reyes,2005-09-07,45647 80,False,goed
Billy Pierce PhD,2021-08-22,24265 98,False,goed
Carlos Moore,2009-01-03,93423 57,True,goed
Lucas Davis,2012-09-20,04714 98,True,slecht
Darryl Nguyen,2013-08-14,97569 47,True,goed
Brandon Hensley,2006-08-24,05864 8,False,slecht
Justin Huffman,2011-06-06,70863 85,True,goed
Tracey Jones,2014-09-11,83526 67,True,goed
Chris Erickson,2015-08-14,53507 90,False,slecht
Kaitlin Jones,2012-10-21,45118 7,False,slecht
Lisa Baker,2008-06-10,79453 2,False,slecht
Kathryn Malone,2018-06-01,19518 75,True,slecht
Rebecca Graham,2008-09-04,54047 80,True,goed
Krystal Huffman,2008-09-10,36865 55,True,goed
Veronica Hill,2014-03-21,65670 35,True,slecht
Joseph Schmidt,2013-01-08,62017 33,False,slecht
Cynthia May,2011-03-14,24409 33,False,goed
Samantha Carter,2006-04-27,81683 76,False,goed
Barbara Conner,2020-08-08,88776 17,True,slecht
Denise Hicks,2020-02-27,89915 91,True,slecht
Maria Johnson,2005-10-22,23862 88,True,slecht
Melinda Rodriguez,2020-03-06,20377 40,False,slecht
Richard Manning,2013-09-08,35189 72,True,slecht
Brenda Rios,2010-12-16,32541 14,False,goed
Sandra Turner,2010-06-08,80063 52,True,slecht
Brittany Greene,2005-03-11,31035 17,False,slecht
Tammy Miller,2006-03-01,21343 98,True,slecht
Jeffrey Avila,2017-01-07,37470 66,True,slecht
Timothy Lopez,2007-04-03,47602 75,True,goed
Patricia Alvarado,2014-09-07,07989 63,True,goed
Patricia Washington,2010-01-08,83218 81,False,goed
Henry Hoffman,2015-10-30,90063 16,True,goed
Howard Medina MD,2015-04-02,89595 63,True,slecht
David Casey,2021-12-24,33763 99,True,slecht
Jesse Salas,2014-12-07,27048 71,False,goed
Michael Lopez,2011-11-19,44266 4,True,goed
Carl Duncan,2017-03-01,66549 12,False,slecht
Laura Lewis,2006-10-25,95528 66,False,goed
Kelsey Wong,2021-12-25,48173 35,True,goed
Bobby Fernandez,2009-09-17,84398 13,False,goed
James Russell,2015-10-31,97110 65,True,goed
Michael Vang,2007-09-30,80842 94,False,goed
Andrew Burns,2017-05-01,86446 67,True,goed
Amber Whitney,2019-10-28,77233 68,True,slecht
Nathan Williams,2017-05-13,71458 87,True,goed
John Jarvis,2018-11-07,14301 28,True,goed
Jaime Good,2004-08-31,17264 44,False,goed
Jeffrey Rose,2012-04-26,80811 25,True,slecht
Kayla Ferguson,2018-06-19,59794 61,False,slecht
Sherry Gutierrez,2012-07-20,18448 69,False,goed
Jessica Hogan,2019-12-05,24256 45,True,slecht
Eric Williams,2012-12-05,10120 69,True,slecht
James Weaver,2021-11-13,76824 29,True,slecht
Maria Holland,2016-04-02,95332 3,True,goed
Nicholas Lawrence,2006-07-04,18453 100,True,goed
Jennifer Hart,2011-01-08,13720 77,True,goed
Andrea Curtis,2020-04-28,02796 77,True,goed
John White,2017-01-12,94107 23,True,goed
Pamela Thompson,2018-10-24,32709 28,True,goed
Ashley Gonzales,2019-10-30,52002 22,False,slecht
Jennifer Ballard,2017-03-11,90178 40,True,goed
Elizabeth Jones,2015-03-02,63451 85,False,goed
Melissa Bolton,2008-03-13,65406 20,True,slecht
Christina Lewis,2007-02-11,58170 49,True,goed
Andrea Collins,2005-09-20,93361 1,False,goed
Rachel Peters,2007-05-11,59603 13,True,goed
Nicholas Martin,2011-11-21,15617 97,True,slecht
Kelly Lowe,2007-10-24,21820 18,False,slecht
Robert Erickson,2012-10-02,92835 81,False,slecht
Benjamin Ramirez,2007-02-08,12694 31,False,goed
Kristi Gregory,2008-02-15,95044 64,False,goed
Amanda Baker,2020-01-31,83585 47,True,slecht
Michelle Pierce,2016-05-08,38692 79,True,goed
Mr. Christopher Barker,2013-05-11,79416 41,False,goed
Steven Steele,2022-01-14,87752 69,True,slecht
Leslie James,2008-07-29,16813 21,True,slecht
David Le,2005-02-18,41911 48,False,slecht
Mr. Matthew Cook,2020-04-24,79191 16,False,slecht
Ryan Lewis,2005-11-13,23214 51,True,goed
Andrew Rodriguez,2018-06-21,34037 89,False,slecht
Destiny Chavez,2019-10-16,13676 40,False,slecht
Kimberly Peterson,2010-11-12,00961 36,True,slecht
Tyler Mitchell,2012-08-02,15262 74,False,slecht
John Jones,2015-12-12,60021 67,True,slecht
David Johnson,2008-12-04,86668 54,True,goed
Jillian Mcintosh,2020-10-17,02795 10,True,slecht
Julia Moore,2016-11-15,24224 97,False,goed
Matthew Guzman,2019-07-06,00936 94,False,slecht
Sara Johnson,2008-08-15,70585 23,False,goed
Aaron Logan,2011-04-04,51139 87,False,slecht
Kayla Hunter,2017-12-24,16436 59,False,goed
Joshua Jones,2005-09-22,72977 89,True,goed
Michael Flores,2006-01-29,77951 12,True,slecht
Aaron Meyer,2016-05-24,67510 15,True,goed
Alexa Peck,2008-02-06,36851 1,False,goed
Jonathan Scott,2004-12-29,68771 47,False,goed
Billy Meyer,2012-08-05,98691 57,False,slecht
Jeanne Gonzalez,2019-06-30,58022 49,True,slecht
Lucas Williams,2006-06-30,13069 48,False,goed
Teresa Calhoun,2021-10-11,21760 68,True,slecht
Michele Cain,2009-09-06,55198 39,False,goed
Elizabeth Garcia,2015-03-26,89923 27,True,goed
Elizabeth Moore,2012-01-29,68768 100,False,goed
Angel Stuart,2006-09-21,96159 32,False,slecht
Joshua Hopkins,2004-09-01,41581 45,False,slecht
Robin Gibbs,2005-08-25,47082 82,False,goed
Karen Mcconnell,2018-12-01,91260 21,True,goed
David Wallace,2021-08-28,95460 91,False,goed
Jillian Davis,2019-12-28,71740 41,True,slecht
Lori Montoya,2021-02-12,40758 50,False,slecht
Maria Richardson,2005-12-06,60184 66,True,slecht
Christopher Brown,2007-05-24,81889 15,False,slecht
Jack Moss,2012-07-24,64454 89,False,goed
Donald Sims,2014-08-01,46226 87,False,goed
Ryan Walters,2012-08-24,18020 34,False,goed
Suzanne Munoz,2018-07-23,75155 74,True,slecht
John Booker,2009-10-28,68923 47,False,goed
Robert Mejia,2014-03-04,67835 60,True,goed
Matthew Moore,2011-07-31,91792 6,True,goed
David Lester,2015-08-26,54183 59,False,slecht
Brian Reed,2010-09-08,49437 98,False,slecht
Howard Garcia Jr.,2010-11-29,73663 97,False,slecht
Austin Stevens,2010-01-12,41900 71,True,goed
Leslie Pruitt,2008-11-29,45771 52,True,slecht
Laura Jones,2005-04-29,36944 15,True,slecht
Carrie Vasquez,2021-05-03,41095 89,False,goed
Amber Fitzgerald,2005-03-08,39793 87,False,slecht
Abigail Rose,2018-05-17,13909 35,False,goed
Chelsea Odom,2010-12-01,57439 51,True,goed
Amy Olsen,2008-02-28,04293 45,False,slecht
Erik Jackson,2006-10-18,56561 88,False,goed
Johnny Mendez,2017-09-11,23002 69,True,slecht
Tyler Newton,2013-12-21,47045 62,False,slecht
Scott Evans,2012-09-04,75235 90,False,goed
Gavin Boyd,2006-05-10,32845 18,False,slecht
James Mills,2013-06-22,75084 5,True,goed
Evan Wright,2016-12-09,96511 21,False,goed
Mark Lewis,2009-01-16,20116 81,False,goed
Ashley Tyler,2013-06-19,55080 40,True,slecht
Kara Mitchell,2020-08-30,64364 73,False,goed
Jeffery Thomas,2013-03-17,80232 28,False,slecht
Christopher Taylor,2009-01-09,86325 30,True,goed
Alison Odonnell,2018-03-15,24018 7,True,goed
David Clayton MD,2019-03-12,30549 59,True,goed
Christine Daniels,2004-07-18,49408 67,False,slecht
Nicholas Nguyen,2009-02-26,93273 24,False,goed
Casey Vance,2006-04-22,62375 91,False,slecht
Matthew Flores,2009-07-16,55795 74,True,slecht
Andrea Mitchell,2014-01-30,15363 36,True,slecht
Kathy Morris,2011-04-08,18277 97,True,slecht
Heidi Jordan,2019-07-21,37415 70,True,goed
Clayton Harris,2004-09-08,59664 36,False,slecht
Michael Sharp,2007-09-27,52085 73,True,goed
Rebecca Riddle,2013-07-05,83732 89,False,slecht
Jasmine Thomas,2008-07-04,20193 93,False,goed
Melissa Roberts,2018-07-22,35075 34,True,goed
Sarah Harris,2007-10-24,24686 68,True,goed
Adrian Mcneil,2012-01-01,17689 45,False,slecht
James Gilbert,2014-05-20,90932 7,False,slecht
Ian Lindsey,2019-01-07,86447 63,True,slecht
Kevin Smith,2007-06-09,65758 58,True,goed
Sandy Martinez,2004-08-22,16815 29,False,goed
Melissa Robles,2018-10-15,51804 44,True,goed
Michael Fields,2006-09-23,24538 59,True,slecht
Justin Ward,2004-08-19,79431 56,True,slecht
Scott Green,2006-01-11,92865 30,False,goed
Stephanie Parker,2011-01-28,71691 62,False,slecht
Chris Estes,2008-05-08,90195 77,True,slecht
John Garcia,2014-05-02,23179 28,False,goed
Matthew Stanton,2005-07-07,36852 41,True,goed
Tara Jenkins,2012-08-05,88394 42,False,slecht
Amy Williams,2011-10-14,91180 22,True,goed
Cynthia Ramirez,2019-06-29,41084 5,False,goed
Lisa Roman,2011-09-24,12248 78,False,slecht
Joan Hunter,2021-01-28,89186 28,True,goed
Hannah Crosby,2005-12-06,20402 67,True,goed
Sharon Myers,2013-03-23,92484 32,False,goed
Shannon Sanders,2010-06-05,04032 91,False,goed
Kellie Dunn,2009-08-02,47259 16,False,slecht
Andrew Peterson,2020-10-12,99394 5,True,goed
Joshua Garcia,2011-10-09,99583 89,True,goed
Mary Joseph,2018-07-14,45722 57,True,slecht
Elizabeth Turner,2014-03-03,57232 72,True,slecht
Casey Weber MD,2013-10-18,66865 11,False,goed
Thomas Alexander,2011-07-04,12398 8,False,goed
Linda Allen,2018-10-18,38699 81,False,slecht
William Gonzalez,2009-10-17,52686 94,False,goed
Melissa Williams,2008-11-03,21664 52,False,goed
Lori Bird,2018-05-11,90587 47,True,slecht
Melissa Byrd,2004-10-04,08688 1,False,goed
Richard Walters,2017-09-10,13053 58,False,slecht
James Gross,2012-06-22,65441 35,True,slecht
Thomas Bass,2019-12-31,39970 33,True,goed
Samantha Hernandez,2018-05-26,25114 20,False,slecht
Ricky Lang,2008-02-15,53113 58,False,goed
Joanne Charles,2014-07-07,70839 35,True,goed
Adam Miller,2022-05-05,11396 94,True,slecht
Jordan Johnson,2012-06-23,98734 19,True,slecht
Cristina Garcia,2017-12-08,16186 6,True,slecht
Raymond Smith,2012-06-17,88594 92,False,slecht
Matthew Forbes,2014-03-27,83327 81,False,goed
Robert Harris,2011-11-20,89556 89,False,slecht
Eric Davidson,2016-02-13,01474 93,True,slecht
Rachel West,2017-09-23,96424 50,False,goed
Thomas Jones,2021-02-03,69678 93,False,goed
Elizabeth Anderson,2021-10-29,80183 61,False,goed
Ashlee Quinn,2005-10-27,73125 32,False,slecht
Anthony Jackson,2015-05-26,25548 21,False,goed
Ralph Martin,2019-02-24,28633 39,False,slecht
Lauren Cantu,2005-12-25,66541 2,True,slecht
Penny Wong,2011-08-19,47912 81,True,slecht
Yvonne Sutton,2022-03-29,62533 37,True,slecht
Brian Moody,2016-12-10,95747 72,True,goed
Brandon Smith,2020-04-14,22242 15,False,slecht
Wendy Turner,2007-03-22,51770 20,True,goed
Ashley Guzman,2018-02-26,08798 67,False,slecht
David Pierce,2006-09-14,18392 14,False,slecht
Mikayla English,2018-07-03,59235 99,True,slecht
Eric Taylor,2014-01-21,28185 37,False,goed
Sarah Young,2006-07-09,95634 21,True,slecht
Thomas Johnson,2021-03-10,22541 64,False,goed
Krystal Meyer,2005-09-29,25349 56,True,slecht
Anthony Lee,2010-09-20,82277 55,True,goed
Joanna Benson,2010-09-01,15568 15,False,slecht
Richard Romero,2013-08-22,76621 79,False,goed
Thomas Klein,2017-10-05,85860 80,True,goed
Andrew Shannon,2021-10-06,08855 15,True,goed
Caroline Brooks,2011-11-07,55030 41,True,goed
John White,2017-07-12,79048 21,False,goed
Charles Larson,2021-02-16,74283 18,True,goed
Alicia Meyer,2019-01-01,95903 84,True,goed
