naam,geboortedata,Postcode,gift_given,gedrag
Gerald Davis,2015-12-22,57648 42,True,goed
Rachel Wade,2007-04-19,41076 77,False,slecht
Victoria Bautista,2016-09-26,14236 10,True,goed
Brian Haley,2005-01-27,69754 81,True,slecht
Alex Martinez,2013-09-18,28308 82,False,goed
Caleb Ray,2021-07-30,91025 84,False,slecht
Richard Torres,2015-05-15,28267 1,False,goed
Jason Vasquez,2019-09-07,43454 42,True,slecht
Andrew Banks,2012-11-14,39149 9,False,goed
Rebecca Lynch,2011-11-04,69788 43,True,goed
Amy Rodriguez,2020-07-09,83808 13,True,slecht
Taylor Scott,2015-04-26,99583 86,True,slecht
Jeremy Smith DVM,2011-03-21,61997 97,True,goed
Melissa Montgomery,2015-08-06,05922 49,True,goed
Jonathan Glenn,2018-01-29,84400 1,True,goed
Joshua Rodriguez,2011-02-27,68817 43,False,slecht
Kristin Stevens,2021-05-27,37839 15,False,goed
Robert Dillon,2018-02-05,36288 61,False,goed
Jorge Arnold,2019-12-20,86508 58,True,slecht
Kelly Daniels,2015-02-22,91128 17,True,goed
Laura Hardin,2009-01-12,63374 34,True,slecht
Timothy Pratt,2014-01-26,83283 70,False,goed
Paul Reese,2009-02-25,41811 11,False,goed
Lynn Cooper,2009-02-11,58467 43,True,slecht
Jennifer Thompson,2022-03-08,02264 28,False,goed
Charles Willis,2007-01-07,21733 45,False,goed
Christina Mueller,2014-10-20,07460 78,True,goed
Monica Johnson,2005-08-16,29084 83,True,slecht
Erica King,2018-01-15,50768 66,True,goed
Joe Mullen,2016-06-01,25944 47,False,slecht
Stephanie Liu,2014-08-11,46863 81,False,slecht
Daniel Robinson,2012-08-07,21302 17,False,goed
Jesse Ward,2021-07-12,19537 23,True,goed
Teresa Skinner,2012-11-14,97047 24,True,slecht
Nathan Klein,2012-12-21,91859 13,True,goed
Krystal Evans,2005-08-21,46073 30,True,goed
Brittany Spencer,2009-03-31,64231 92,False,slecht
Tyler Gibbs,2021-10-04,66450 83,False,slecht
Andrea Leonard,2017-01-12,78642 42,True,goed
Elizabeth Mora,2019-12-03,27584 78,False,slecht
Kimberly Dunn,2021-07-13,22072 65,True,slecht
Jason Little,2020-02-22,79096 16,False,slecht
Peter Romero,2016-09-15,08914 40,False,slecht
Christopher Reilly,2014-05-25,86489 89,True,goed
Elizabeth Henry,2011-09-20,37404 48,True,goed
Christopher Lee,2015-02-06,45343 99,False,goed
Pamela Drake,2010-01-09,82826 51,True,slecht
April Simmons,2019-01-18,60554 91,True,goed
Taylor Boyer,2017-10-05,75594 97,True,slecht
Sarah Figueroa,2005-12-13,02169 44,False,goed
Kayla Vasquez,2013-08-04,50493 81,False,slecht
George Jones,2013-09-27,75849 93,True,slecht
John Bowen,2017-01-29,96316 52,False,goed
Tommy Wells,2013-01-26,59316 5,False,slecht
Thomas Coleman,2012-09-28,68534 48,False,goed
Mary Case,2010-01-12,50357 20,True,goed
Douglas Hess,2013-03-08,11844 7,False,slecht
Anne Underwood,2018-01-15,17814 19,False,goed
Mrs. Amber Walton,2021-05-20,23065 23,True,slecht
Linda Wu,2010-01-08,96509 49,False,slecht
Kimberly Lee,2018-04-29,58458 84,False,slecht
Jacob Hale,2010-06-20,31306 3,False,goed
Justin Williams,2014-04-15,09273 44,False,slecht
George Gill DDS,2009-09-19,07926 60,True,slecht
Shawn Wilson,2018-07-02,96869 32,False,goed
Amy Moore,2008-01-25,15506 11,True,slecht
Shelley Tucker,2006-01-10,30547 17,False,slecht
Gregory Clark,2007-05-12,63731 64,True,goed
Patricia Martin,2018-03-10,35631 71,False,goed
Alejandro Smith,2018-06-25,36725 94,False,slecht
Susan Ewing,2004-12-29,02496 31,False,goed
Wesley Smith,2015-11-23,82457 53,True,slecht
Brandon Hudson,2006-05-03,93201 29,False,slecht
Jill Sims,2009-03-13,42207 96,False,goed
Sara Shields,2016-06-29,15901 71,True,goed
Tommy Clark,2008-01-08,34595 61,True,goed
Keith Campbell,2016-11-05,22087 90,True,goed
Michael Chambers,2012-12-28,24836 70,True,goed
Lisa Doyle,2010-04-08,79571 19,True,slecht
Ryan Schneider,2019-05-24,21398 35,True,goed
Patricia Pierce,2012-02-28,81442 23,True,slecht
Michael Anderson,2018-08-18,49420 50,True,goed
Scott Dougherty,2012-05-16,05659 5,True,slecht
Zachary Miller,2013-11-18,50073 35,True,goed
Yvonne Garcia,2020-02-17,54191 10,False,goed
Betty Hawkins,2004-05-14,97883 78,True,slecht
Rodney Hines,2020-03-02,57623 57,False,goed
Sabrina Griffin,2006-12-22,98511 69,True,goed
Anthony Hanna,2009-04-17,37479 75,True,goed
Amanda Page,2012-09-29,57552 8,True,slecht
Jennifer Anderson,2013-05-13,90345 11,True,slecht
Jacob Davis,2011-12-03,03094 9,False,goed
Nicole Ayers,2021-09-17,73133 57,True,slecht
Carrie Banks,2016-03-09,09771 15,False,slecht
Carol Brown,2007-04-08,27048 38,True,slecht
Allison Munoz,2019-10-21,52278 57,False,goed
James Mosley,2021-05-27,88144 88,True,goed
Joseph White,2013-10-04,16231 55,False,slecht
Sarah Daniels,2007-11-24,47912 36,False,goed
Michael Boone,2015-10-02,32446 75,False,slecht
Andrew Shah,2021-03-25,83457 92,False,slecht
Trevor Patterson,2007-02-20,96184 87,True,goed
Vincent Baxter,2020-08-07,66177 89,True,goed
Shaun Torres,2019-10-01,30607 73,True,goed
John Carlson,2013-12-25,82957 37,False,slecht
Diane Adams,2006-01-14,45688 77,True,goed
Phillip Bates,2009-10-27,89194 31,True,slecht
Scott Graham,2018-08-05,63641 74,True,goed
Holly Burgess,2008-08-01,81893 28,True,goed
Christopher Huff,2019-09-16,79308 76,False,goed
David Boone,2020-11-18,22421 85,False,slecht
Heather Roberts,2014-09-04,17259 62,True,slecht
Dustin Roach,2020-04-02,10344 41,False,goed
Hannah Brown,2014-03-20,82781 92,True,goed
Joseph Johnson,2011-11-09,45411 23,False,slecht
Debra Harding,2014-12-21,39074 79,True,goed
Dennis Ward,2020-05-07,41776 99,True,slecht
Nicole Young,2008-10-20,36520 43,True,slecht
Steve Lopez,2013-08-05,22076 54,True,slecht
Belinda Fernandez,2022-04-30,45403 45,False,slecht
Katherine Brewer,2008-08-06,74379 8,False,slecht
Michael Hansen,2013-09-02,38918 46,False,slecht
Chase Bonilla,2020-06-16,54527 93,True,slecht
Diana Ramos,2011-03-25,12875 95,True,slecht
Selena Figueroa,2013-08-13,74286 86,False,slecht
Kayla Holmes,2018-05-03,04229 99,True,goed
Katelyn Chavez,2007-07-03,05407 6,True,goed
Elizabeth Lopez,2020-05-25,76224 77,False,slecht
Megan Bennett,2016-11-16,70559 56,False,goed
Barbara Phillips,2015-03-07,91072 73,True,goed
Jennifer Davis,2004-06-25,25761 58,False,goed
Denise Walker,2009-04-02,35785 43,False,slecht
Adam Levy,2017-06-22,40083 98,False,slecht
James Barrera,2009-01-08,99377 18,True,goed
Meagan Moore,2009-11-03,59439 61,True,goed
Victoria Harrison,2005-11-13,99027 98,True,goed
Alicia Whitaker,2016-12-04,98359 41,False,goed
Lauren Watson,2013-04-11,25221 1,True,goed
Elizabeth Burke,2005-09-28,38626 50,False,slecht
James Hunter,2021-03-07,73379 91,False,goed
Jose Williams,2006-03-08,47832 10,False,slecht
John Harris,2016-06-11,04701 70,False,goed
Thomas Barnes,2015-06-04,68899 6,True,goed
David Larson,2017-03-12,84813 8,False,goed
Robert Smith,2008-07-07,86172 4,False,goed
Stacy Nichols,2015-12-14,27982 62,True,goed
Amanda Ewing,2019-06-18,13409 20,True,slecht
Jill Carpenter,2009-11-07,99670 53,True,slecht
Douglas Lopez,2005-06-16,12235 59,True,slecht
Bryan Cox MD,2020-11-27,54312 90,False,slecht
Stephanie Yu,2007-02-02,65102 22,False,goed
Regina Myers DVM,2009-06-28,26730 9,True,goed
Richard Smith,2020-10-25,26004 43,False,slecht
Melissa Duncan,2020-12-21,78972 70,True,slecht
Patricia Navarro,2008-03-05,86213 27,False,goed
Joshua Garcia,2020-09-08,13097 84,False,slecht
Lauren Hernandez,2005-09-12,72239 12,True,goed
Laura Mendez,2013-01-01,53318 60,True,goed
Katelyn Harding,2017-10-10,07507 70,True,slecht
Michael Carter,2012-07-12,07159 25,True,goed
Wanda Chapman,2017-06-01,38438 4,True,goed
Brooke Roberts,2013-10-10,45759 17,True,goed
Briana White,2019-06-17,30147 99,False,slecht
Brian Yates,2004-10-07,58612 34,True,slecht
Jeffrey Williams,2011-08-13,45292 41,True,slecht
Lisa Chandler,2005-05-19,94130 91,True,slecht
Thomas Mejia,2013-11-12,55429 75,True,goed
Nicole Henderson,2021-01-18,99440 93,False,goed
Thomas Wood,2017-01-01,48582 81,True,slecht
David Johnson,2008-04-15,17885 91,True,goed
Nancy Huffman,2013-04-30,20855 37,True,goed
Richard Hodges,2013-02-02,64295 31,True,slecht
Ruth Patterson,2005-06-28,61102 97,True,goed
Jeffrey Smith,2020-11-27,69914 9,False,goed
Eric Lawson,2006-04-07,00988 86,True,slecht
Melinda Anderson,2009-02-03,27272 57,True,slecht
William Smith,2010-10-02,71226 11,True,slecht
Ricardo Hall,2010-02-18,65359 13,False,slecht
William Hayes,2009-08-13,50115 95,True,goed
Brian Hernandez,2006-10-29,37191 76,False,goed
Charles Parks,2004-07-28,83706 6,False,goed
Sara Dawson,2013-04-30,85726 78,False,goed
Christopher Miller,2005-08-06,23545 86,False,goed
Melissa Andrews,2005-12-10,80533 23,False,slecht
Beth Johnson,2006-03-27,10308 14,True,goed
Ryan Evans,2011-02-02,03330 46,True,goed
Jeffrey Monroe,2018-04-28,18737 72,False,goed
Amy Sherman,2013-07-28,44829 17,True,goed
Jeffrey Maldonado,2022-05-07,47291 10,True,slecht
Adriana Whitney,2007-04-12,95717 17,False,goed
Brooke Williams,2020-12-07,19033 47,False,slecht
Miranda Ramirez,2021-04-16,15811 24,True,goed
Erica Santana,2009-05-13,66227 83,True,slecht
Martha Montgomery,2014-04-03,60200 45,True,slecht
David Hill,2018-08-05,54443 53,True,slecht
Adam Jackson,2021-12-13,32297 66,False,goed
Stephanie Daniels,2008-04-04,20971 44,False,slecht
Dr. Christopher Brown MD,2010-08-05,33431 56,True,goed
Todd Grant,2015-11-25,83481 93,False,slecht
Mercedes Carr,2010-07-22,32864 49,True,slecht
Jason Joseph,2021-08-26,80970 8,False,slecht
Susan Sims,2014-12-23,89034 95,False,slecht
Bradley Marquez,2015-01-15,33302 26,False,slecht
Claudia Owen,2008-01-31,23813 19,True,slecht
Kelly Hart,2013-11-27,27627 91,False,slecht
Sarah Patterson,2008-10-16,39357 86,False,goed
Justin Pollard,2006-06-10,52993 86,False,goed
William Shaffer,2007-11-29,77846 29,False,goed
Natalie Harvey,2007-01-25,40400 73,True,goed
Stephen James,2016-11-04,23227 71,False,goed
Casey Long DDS,2015-06-01,38848 13,True,goed
Robin Ware,2018-06-10,57045 2,False,goed
Terry Solis,2008-11-29,11004 84,False,slecht
Wendy Arnold,2010-08-28,73523 23,True,slecht
Bryan Garcia,2018-04-09,18689 57,False,goed
Bruce Hughes,2019-02-25,50847 75,True,goed
Robert Frazier,2005-11-29,63329 25,False,goed
Paul Anderson,2015-05-01,19576 75,False,goed
Stacy Bailey,2005-07-08,87952 56,False,slecht
Zachary Rodriguez DDS,2016-05-15,50983 35,False,goed
Jared Peterson,2014-06-12,42948 27,False,goed
Angel Thomas,2021-10-02,00738 44,False,goed
Tiffany Harris,2007-08-07,91212 40,True,slecht
Dr. Laura Oneal,2014-11-04,22761 57,False,goed
Christopher Washington,2020-12-24,01757 23,False,slecht
Andrew Hendricks,2018-07-11,44229 82,True,slecht
Brandon Duncan,2009-06-01,90358 73,False,goed
Brooke Jackson,2013-02-07,37200 73,False,goed
Mark Ortiz,2011-01-30,67020 12,False,goed
Michelle Oconnor,2005-03-05,86578 82,True,slecht
David Payne,2017-01-23,81439 42,False,slecht
Samantha Galvan,2022-01-31,86067 50,False,goed
Faith Martin,2009-08-14,24288 73,False,slecht
Kristen Morgan,2009-07-06,57719 34,False,goed
Joseph Clark,2005-09-21,38900 89,True,goed
Justin King,2019-09-17,44439 76,False,goed
Richard Johnson,2005-09-18,93331 23,False,slecht
Ana Le,2007-05-06,11588 28,True,slecht
Jodi Brooks,2020-05-29,86706 23,True,goed
Ashley James,2010-04-29,63746 6,False,goed
Lauren Vasquez,2019-03-27,07778 81,True,slecht
Tammy Bryant,2017-03-21,31360 81,True,goed
Steven York,2006-05-13,44045 76,False,slecht
Jose Mcdowell,2005-02-18,57839 61,True,goed
Stacie Allen,2020-03-18,04170 94,True,goed
Ruth Williams,2007-03-16,59012 65,False,slecht
Nathan Gordon,2009-05-18,66326 55,False,slecht
Dominique Elliott,2012-10-09,36389 72,True,slecht
Antonio Ramirez,2017-07-19,35985 7,True,goed
Justin Peck,2013-12-27,32426 17,False,slecht
Jasmine Maxwell,2013-11-16,83240 22,False,goed
Tyler Payne,2017-12-03,97834 39,False,goed
Vanessa Soto,2019-02-12,21460 96,False,slecht
Michael Hall,2012-08-24,95427 59,True,slecht
Carlos Reynolds,2005-12-27,40494 81,False,goed
Matthew Olson,2012-06-06,62748 33,True,goed
Shelby Kaiser,2004-10-06,38869 3,True,goed
Steven Martinez,2020-02-03,76033 68,False,goed
Aaron Russell,2020-08-19,61801 34,True,slecht
John Stanley,2010-01-11,50753 35,True,slecht
Ronald Long,2010-07-23,14042 74,False,goed
Joshua Mann,2005-03-22,27274 23,False,slecht
Mia Fox,2009-10-09,54283 64,True,slecht
Victor Graham,2005-10-13,36314 57,False,goed
Lisa Davis,2018-11-17,76790 26,True,goed
Anthony Rogers,2018-10-06,07442 27,False,slecht
Keith Burns,2018-03-19,11476 32,True,goed
Jason Bullock,2017-04-12,37480 100,True,goed
Timothy Cummings,2016-02-20,83236 22,False,goed
Kevin Richardson,2012-12-10,63976 28,False,goed
Sandra Key,2015-07-22,29308 24,True,goed
Courtney Gallagher,2020-11-07,53146 28,True,slecht
Curtis Williams,2008-06-27,73240 3,True,goed
Stephanie Garcia,2021-07-26,73805 30,True,slecht
Joseph Escobar,2018-11-16,23887 33,True,slecht
Bradley Steele,2018-07-27,78563 29,False,goed
Melanie White,2006-01-19,24569 20,True,goed
Steven Smith,2010-12-26,81696 95,True,slecht
David Leon,2006-03-29,37479 44,True,slecht
Kelsey James,2007-07-17,45821 36,False,goed
Kenneth Krueger,2006-01-03,94625 54,True,slecht
Michael Stevens,2021-09-19,59644 8,True,goed
Melvin Hensley MD,2015-02-06,84730 60,True,goed
Kari Anderson,2017-04-01,71818 48,False,goed
Nicholas Palmer,2005-09-23,20501 39,False,slecht
Mitchell Mitchell,2017-05-11,88429 70,True,slecht
Grace Jones,2019-08-22,10852 2,False,slecht
Bradley Garcia,2010-06-07,01603 93,False,goed
Joel Carr,2017-02-26,53384 52,True,slecht
Theresa Hicks,2005-04-28,10687 51,True,slecht
Felicia Rivera,2013-08-16,12312 95,False,goed
Andrea Turner,2017-04-22,83975 64,True,goed
Michael Fisher,2020-10-04,04861 6,True,slecht
Angie Bender,2010-07-04,34850 23,False,slecht
Jacqueline Tapia,2014-01-04,82188 8,True,goed
Katherine Martin,2008-08-18,37371 35,True,slecht
Kristen Johnston,2011-06-12,38706 35,True,slecht
Jacqueline Fox,2015-12-09,11139 15,False,goed
James Walker Jr.,2019-04-02,19004 91,True,slecht
Bruce Smith,2016-06-26,80983 39,True,goed
Danielle Vasquez,2018-05-10,22683 21,False,slecht
Jeff Reyes,2011-02-06,20990 84,True,goed
Jennifer Klein,2004-11-09,76428 1,True,slecht
Carlos Ortiz,2004-09-26,77887 68,False,slecht
Seth Myers,2011-12-08,82197 97,False,slecht
David Cox,2010-02-18,75848 92,False,slecht
Debbie Gallegos,2011-08-21,04510 5,False,goed
Andrew Wright,2014-04-27,01863 1,False,goed
Jessica Rodriguez,2021-03-28,83081 67,False,goed
Lindsay Rios,2006-10-20,62034 96,False,goed
Caitlyn Powers,2015-05-21,21120 59,False,slecht
Ashley Rodriguez,2020-08-19,73963 98,True,slecht
Robert White,2019-06-22,91363 98,False,slecht
Richard Brown,2012-07-04,92889 7,True,slecht
Shane Andrews,2013-06-15,23291 54,True,goed
Christopher Gordon,2014-01-25,07959 13,True,goed
Mary Wilkerson,2013-10-21,40632 32,False,slecht
Megan Larson,2021-08-17,04167 85,True,slecht
Scott Bird,2005-04-15,24106 67,True,slecht
Brett Walters,2018-05-25,09951 71,False,slecht
Brittney Clark,2007-12-11,66592 52,False,slecht
Maria Estrada,2012-02-15,58946 91,False,slecht
Karen Smith,2013-12-11,58493 59,True,slecht
Amy Reyes,2013-03-07,13071 97,True,slecht
Ana Horton,2006-03-22,18331 93,False,goed
Kevin Heath Jr.,2014-10-10,59864 10,False,slecht
Laura Weiss,2017-10-12,12207 30,True,goed
Joseph Alexander,2018-09-14,87716 72,False,slecht
Jennifer Ryan,2020-03-16,96662 41,True,goed
Philip Bradshaw DVM,2012-08-18,09297 29,False,slecht
Pamela Phillips,2012-01-23,66645 84,False,goed
Amanda Martin,2010-09-20,72532 82,True,slecht
Stephanie Jensen,2012-04-08,04825 89,True,slecht
Kimberly Green,2020-05-04,01697 77,False,goed
Christopher York,2012-07-11,88861 27,True,slecht
Edwin Peterson,2011-05-10,85710 8,True,goed
Kimberly Strickland,2010-05-19,72915 67,False,slecht
Nancy Davis,2019-06-28,85281 50,False,goed
Taylor Burke,2009-04-20,20491 90,True,slecht
Brenda Rhodes,2017-09-05,88640 22,True,slecht
Amy Wagner,2021-08-26,93327 54,False,slecht
Hector Frost,2014-12-03,00950 61,False,slecht
Brandon Tran,2009-07-18,79531 99,True,goed
Michael Cook,2014-12-04,79718 83,True,slecht
Wendy James,2017-02-12,63987 51,False,goed
Rhonda Moore,2006-09-22,68893 48,False,goed
Timothy Chambers,2020-08-06,26515 86,True,slecht
Tonya Wolfe,2009-12-05,94773 42,False,goed
Sarah Lopez,2013-09-12,88333 73,False,goed
Joshua Underwood,2013-02-21,35386 32,True,slecht
Jane Walls,2006-11-01,18286 12,False,goed
Lisa Burke,2011-10-28,82652 26,False,slecht
Connor Cantrell,2007-12-11,43489 65,True,slecht
Nathan Branch,2005-10-24,28264 29,True,slecht
Holly Robinson,2012-08-22,28783 33,False,goed
Charles Davis,2016-07-13,11078 51,False,slecht
Shannon Gonzalez,2005-08-02,61045 41,False,goed
Marc Cooper,2019-11-02,28179 27,True,slecht
Dean Lynn,2018-09-15,29312 37,True,goed
Crystal Guerrero,2011-09-05,91989 17,True,slecht
Katie Russell,2013-08-17,75968 42,True,goed
Paul Sampson,2020-12-14,22858 8,False,goed
Thomas Ward,2017-10-26,95699 82,False,slecht
Anne Morris,2009-09-19,00697 44,True,goed
Jamie Gutierrez,2008-04-11,74096 1,False,slecht
Lindsay Robbins,2005-07-13,94542 32,False,goed
Diana Clarke,2011-02-25,31257 91,True,goed
Randy Kennedy,2021-05-08,95254 2,False,slecht
Robert Pittman,2007-08-08,96381 67,True,slecht
Courtney Zamora,2011-10-21,72339 74,True,slecht
Rebecca Lewis,2017-08-13,70286 96,True,goed
Tammy West,2020-05-29,70849 76,True,goed
Thomas Holder,2016-02-25,01445 92,True,goed
Christina Miller,2019-07-07,64707 71,False,goed
Jose Weaver,2009-11-11,44125 98,False,goed
Christopher Henry,2010-06-13,00636 42,True,slecht
Ashley Snyder,2021-01-03,87884 55,True,goed
David Munoz,2009-02-21,32940 81,True,slecht
Jennifer James,2021-08-13,14328 33,True,slecht
Christopher Williams,2019-09-09,72338 49,False,goed
Kathryn Daniels,2022-02-07,24678 78,True,slecht
Melanie Torres,2006-02-13,49534 33,False,goed
Seth Santos,2016-03-01,33336 30,True,slecht
Jonathan Turner,2020-11-24,27118 98,False,goed
Diana Brewer,2019-05-02,24717 1,True,goed
Russell Moran,2013-01-17,93034 82,False,slecht
Christopher Erickson,2011-10-24,42378 55,False,slecht
Kenneth Carter,2011-06-12,68768 3,False,slecht
Shawna Jackson MD,2007-05-18,36626 48,False,slecht
Amanda Young,2015-02-26,16677 18,False,slecht
Peggy Hunt,2019-01-18,37090 72,False,slecht
Dylan Bennett,2019-11-19,28196 28,True,slecht
Marcus Gilbert,2013-05-12,72345 41,True,slecht
Lisa Turner,2015-11-12,78439 33,False,slecht
Frank Bailey,2020-05-30,57674 55,True,goed
Robin Pierce,2018-12-01,93974 38,False,slecht
Jennifer Knight,2006-10-09,41559 89,True,slecht
Rebecca Howell,2018-05-01,90284 84,False,goed
Ryan Russell,2009-04-12,22828 14,False,goed
Sara Fisher,2015-06-07,78408 9,False,goed
Elizabeth Murphy,2011-02-17,78004 39,True,goed
Victoria Ramirez DDS,2010-07-16,96838 39,False,slecht
Sandra Pena,2012-10-07,94777 60,False,goed
Regina Morgan,2004-12-16,78875 90,False,goed
Carol Dickerson,2004-10-30,53152 93,True,goed
Mr. Michael Jones,2019-12-03,17929 38,False,slecht
Jodi Carter,2007-06-09,23623 6,False,goed
Edward Baker,2012-07-07,03941 48,True,goed
Daniel Taylor,2016-12-30,49157 61,True,goed
Ashley Nelson DDS,2021-10-19,47184 7,True,goed
Andrea Smith,2005-03-13,19175 68,False,slecht
Michael Lowe,2021-12-25,55276 51,False,slecht
Clayton Martinez,2015-10-17,80739 13,True,slecht
Melinda French,2007-05-25,84460 30,True,slecht
Mary Miranda,2005-08-13,71116 92,True,goed
Sonya Stafford,2017-06-15,59874 8,True,slecht
Ronnie Gibson,2021-03-03,18867 68,True,goed
Diane Rodriguez,2022-04-28,96389 54,False,goed
Joshua Johnson,2019-06-07,02895 49,False,slecht
Emily Guerra,2011-12-06,84216 88,False,goed
Megan Mcdonald,2011-01-07,15285 29,False,slecht
Timothy Gonzalez,2012-05-14,71134 79,False,slecht
Gloria Lucas,2008-02-14,79346 71,False,slecht
John Winters,2005-07-02,91320 47,True,goed
Michael Mcpherson,2020-08-18,30565 91,True,goed
Emily Valencia,2005-10-28,08126 22,True,goed
Tara Gonzales,2005-02-05,36897 38,False,goed
Laura Peters,2021-09-17,57915 95,True,goed
Kenneth Ford,2004-12-16,22704 15,True,slecht
Ryan Blake,2021-05-01,99877 4,False,slecht
Daniel Hudson,2020-08-19,87062 73,False,slecht
Jessica Acosta,2011-10-01,05681 32,False,slecht
Dr. Michael Martin DDS,2012-01-22,83539 2,True,goed
Tamara Harris,2012-06-21,56577 43,False,goed
Patricia Nelson,2020-06-02,64318 87,False,goed
Bryan Murphy,2006-03-16,84791 98,True,goed
Kristen Cruz,2021-02-07,80612 83,False,goed
Steven Anderson,2022-01-23,90696 46,False,goed
